from,to,distance
100,188,1087.32
100,29,1172.2
100,75,1344.81
100,70,1511.92
101,238,933.41
101,231,1204.52
101,70,1835.6
101,121,2366.97
101,173,2661.16
102,202,633.38
102,87,1806.74
102,67,3229.83
102,20,4052.55
102,107,4097.17
103,270,1257.03
103,131,1344.39
103,52,2076.74
103,217,2885.85
103,250,3068.64
104,13,430.86
104,256,1283.38
104,43,2052.92
104,216,2458.71
104,76,2680.89
105,233,870.43
105,74,964.44
105,47,1551.74
105,171,1652.8
105,143,1845.07
106,114,595.0
106,241,1977.46
106,154,2211.56
106,210,2303.62
106,257,2861.56
107,67,1989.79
107,122,2065.28
107,20,2331.19
107,156,2611.69
107,132,3333.93
108,93,1348.63
108,57,2004.41
108,78,2465.31
108,269,2974.94
108,151,3178.82
109,46,1137.61
109,191,1368.53
109,51,1445.88
109,267,1459.91
109,164,1803.51
110,22,1071.98
110,177,1389.04
110,28,1801.87
110,95,1819.64
110,82,2042.61
111,140,1207.13
111,45,1474.41
111,127,2011.3
111,5,2116.29
111,176,2587.68
112,84,294.32
112,265,371.17
112,63,638.27
112,58,1101.79
112,179,1206.65
113,218,1671.12
113,36,1964.47
113,37,2292.2
113,239,3180.15
113,273,3698.85
114,106,595.0
114,241,1978.49
114,210,2284.66
114,154,2578.79
114,252,3105.58
115,275,189.97
115,162,997.82
115,205,2166.94
115,129,2213.64
115,188,2642.36
116,149,1249.88
116,175,1511.25
116,219,1872.65
116,190,1957.25
116,78,2321.29
117,193,1660.84
117,166,1803.59
117,123,2023.59
117,134,2257.14
117,142,2721.61
118,234,514.59
118,221,1046.48
118,276,2124.98
118,254,3793.48
118,9,3933.48
119,48,868.78
119,65,1185.44
119,55,1403.65
119,23,1646.15
119,251,1697.37
120,169,538.8
120,24,631.0
120,220,1721.91
120,125,1847.27
120,31,2305.49
121,199,1037.52
121,173,1572.53
121,235,1968.98
121,124,2128.73
121,101,2366.97
122,107,2065.28
122,176,2074.71
122,132,2432.17
122,240,2533.94
122,20,2839.4
123,243,1949.76
123,117,2023.59
123,21,2175.15
123,258,2941.29
123,228,2984.74
124,145,1352.79
124,235,1661.17
124,167,1972.94
124,26,2111.93
124,121,2128.73
125,169,1309.67
125,220,1719.22
125,24,1759.96
125,120,1847.27
125,150,2162.08
126,141,319.77
126,155,415.16
126,136,1088.44
126,214,1442.28
126,216,1702.12
127,5,266.99
127,140,1485.34
127,45,1593.91
127,129,1874.8
127,111,2011.3
128,50,435.51
128,41,724.83
128,278,1468.3
128,201,1716.95
128,222,2249.63
129,162,1375.04
129,127,1874.8
129,5,1968.97
129,137,2002.28
129,275,2075.96
130,230,218.1
130,139,1307.82
130,2,1379.74
130,194,3664.53
130,61,3881.8
131,103,1344.39
131,270,2041.93
131,1,2367.04
131,250,2748.63
131,273,2902.7
132,240,146.13
132,269,1826.5
132,20,1899.08
132,122,2432.17
132,107,3333.93
133,38,1015.38
133,178,1720.23
133,10,2955.99
133,69,4073.67
133,237,4199.67
134,142,666.9
134,73,930.29
134,193,1150.2
134,166,1799.89
134,144,2155.78
135,165,1084.68
135,0,1315.32
135,82,1800.96
135,204,2357.9
135,259,2811.77
136,155,677.74
136,214,947.32
136,141,962.32
136,126,1088.44
136,216,1090.72
137,235,1586.66
137,45,1601.55
137,140,1871.41
137,129,2002.28
137,124,2316.36
138,209,826.45
138,215,1569.81
138,229,1836.63
138,89,1913.62
138,260,2338.08
139,2,1134.29
139,130,1307.82
139,230,1342.92
139,59,3101.46
139,19,3144.17
140,45,286.39
140,111,1207.13
140,127,1485.34
140,5,1713.97
140,137,1871.41
141,126,319.77
141,155,405.03
141,136,962.32
141,216,1406.09
141,214,1529.67
142,73,655.82
142,134,666.9
142,193,1258.91
142,144,1685.02
142,182,2402.09
143,171,1117.56
143,156,1334.64
143,74,1628.54
143,105,1845.07
143,233,2033.64
144,182,1497.11
144,193,1564.47
144,142,1685.02
144,134,2155.78
144,73,2245.17
145,167,654.04
145,26,854.81
145,124,1352.79
145,91,2418.37
145,190,2782.1
146,184,826.84
146,83,842.26
146,92,2320.84
146,264,2446.02
146,243,3136.79
147,151,1103.22
147,68,1668.86
147,269,3434.15
147,108,3887.78
147,240,4239.18
148,52,1095.36
148,183,1676.65
148,236,2148.67
148,80,2940.15
148,270,2968.01
149,190,768.61
149,116,1249.88
149,219,1974.56
149,26,2086.79
149,167,2280.89
150,267,1110.84
150,125,2162.08
150,274,2300.32
150,109,2342.65
150,11,2447.64
151,147,1103.22
151,68,2070.88
151,269,2334.87
151,108,3178.82
151,240,3310.87
152,266,944.07
152,31,974.45
152,94,1647.63
152,11,1881.14
152,49,1919.06
153,208,1554.65
153,161,1942.94
153,185,3307.47
153,34,3653.39
153,226,4056.35
154,241,1477.35
154,106,2211.56
154,71,2513.6
154,114,2578.79
154,257,2800.13
155,141,405.03
155,126,415.16
155,136,677.74
155,214,1124.66
155,216,1440.69
156,143,1334.64
156,248,1680.42
156,159,1760.11
156,71,2000.36
156,67,2218.33
157,44,221.17
157,174,404.99
157,225,1638.93
157,15,2125.2
157,246,2361.96
158,8,594.38
158,177,1269.86
158,35,1273.91
158,22,2493.32
158,110,2658.9
159,71,401.02
159,248,1025.39
159,257,1420.34
159,156,1760.11
159,74,2459.92
160,75,832.35
160,29,1266.14
160,188,1271.19
160,212,2052.84
160,60,2070.54
161,153,1942.94
161,208,2054.77
161,34,3729.73
161,42,3983.7
161,185,4690.21
162,275,939.33
162,115,997.82
162,129,1375.04
162,205,2477.27
162,60,2672.23
163,86,1674.42
163,17,1814.98
163,35,2070.0
163,158,2767.32
163,165,2824.44
164,191,531.89
164,170,775.63
164,46,1355.17
164,109,1803.51
164,249,2089.15
165,135,1084.68
165,82,1813.34
165,86,2327.86
165,0,2393.72
165,163,2824.44
166,134,1799.89
166,117,1803.59
166,172,1844.65
166,217,2048.61
166,193,2242.75
167,26,256.61
167,145,654.04
167,124,1972.94
167,190,2179.6
167,91,2212.51
168,237,720.44
168,69,1229.4
168,10,1607.99
168,32,1833.75
168,182,1861.91
169,120,538.8
169,24,666.75
169,125,1309.67
169,220,1473.52
169,31,2192.39
170,164,775.63
170,191,1119.6
170,187,2047.07
170,46,2128.47
170,174,2197.12
171,143,1117.56
171,233,1322.58
171,105,1652.8
171,16,2015.91
171,74,2033.52
172,250,1296.26
172,217,1796.53
172,37,1825.64
172,166,1844.65
172,228,2397.56
173,121,1572.53
173,235,1696.22
173,60,1719.53
173,100,1962.96
173,188,2517.13
174,44,188.27
174,157,404.99
174,225,1409.85
174,15,2098.09
174,170,2197.12
175,223,1125.97
175,116,1511.25
175,149,2538.74
175,78,2885.95
175,190,3047.66
176,16,1754.65
176,122,2074.71
176,171,2438.48
176,111,2587.68
176,5,2879.14
177,158,1269.86
177,110,1389.04
177,22,1424.69
177,8,1790.7
177,95,2009.54
178,133,1720.23
178,38,2701.97
178,19,2897.81
178,33,3274.71
178,10,3398.65
179,265,943.88
179,84,952.01
179,63,961.05
179,64,1106.29
179,112,1206.65
180,3,2620.61
180,58,3083.32
180,63,3995.33
180,112,4184.42
180,4,4240.55
181,9,942.96
181,197,2511.03
181,7,2834.8
181,49,2983.53
181,6,3049.54
182,144,1497.11
182,168,1861.91
182,271,2052.65
182,32,2326.37
182,142,2402.09
183,80,1365.96
183,148,1676.65
183,52,1888.93
183,270,2500.91
183,231,3273.86
184,146,826.84
184,83,961.3
184,92,2438.03
184,228,2882.89
184,243,2965.0
185,226,802.46
185,72,1616.33
185,208,2691.97
185,196,2786.87
185,34,2826.53
186,200,1740.76
186,196,2000.19
186,241,3269.21
186,154,3701.4
186,226,4083.11
187,170,2047.07
187,191,2392.64
187,164,2512.95
187,267,2553.33
187,157,2578.17
188,75,535.79
188,60,799.43
188,29,1007.85
188,100,1087.32
188,160,1271.19
189,274,236.29
189,211,1695.37
189,279,1778.55
189,11,2311.78
189,109,2488.52
190,149,768.61
190,26,1938.81
190,116,1957.25
190,167,2179.6
190,219,2626.25
191,164,531.89
191,170,1119.6
191,46,1266.0
191,109,1368.53
191,267,1847.39
192,261,410.03
192,255,518.13
192,96,1104.78
192,272,1423.07
192,6,1546.12
193,134,1150.2
193,142,1258.91
193,144,1564.47
193,117,1660.84
193,73,1872.23
194,12,337.59
194,61,1074.36
194,2,2353.15
194,59,2474.47
194,139,3312.28
195,30,327.17
195,242,1615.08
195,95,1747.23
195,22,2511.29
195,177,3557.47
196,186,2000.19
196,226,2242.4
196,185,2786.87
196,200,3163.14
196,252,3181.07
197,7,341.91
197,6,630.15
197,25,715.98
197,9,1626.25
197,192,1807.51
198,258,1794.72
198,21,2615.73
198,264,2737.77
198,4,3919.35
198,123,4639.73
199,121,1037.52
199,232,1342.86
199,124,2169.55
199,238,2324.92
199,173,2609.76
200,186,1740.76
200,196,3163.14
200,87,4635.26
200,202,4656.5
200,241,4921.3
201,278,256.33
201,206,800.39
201,41,993.07
201,50,1303.26
201,244,1307.19
202,102,633.38
202,87,2158.88
202,67,3786.22
202,20,4608.95
202,200,4656.5
203,81,1642.95
203,77,2409.45
203,62,3829.61
203,56,3944.1
203,23,4562.46
204,259,464.67
204,213,1450.74
204,82,1760.14
204,0,2214.38
204,135,2357.9
205,263,1625.92
205,85,1723.47
205,275,2003.12
205,115,2166.94
205,162,2477.27
206,201,800.39
206,278,1032.32
206,41,1667.44
206,272,1688.14
206,244,1839.02
207,229,964.39
207,206,1863.68
207,89,2154.36
207,201,2440.17
207,278,2555.91
208,153,1554.65
208,161,2054.77
208,34,2113.31
208,185,2691.97
208,72,2978.63
209,138,826.45
209,260,1612.46
209,89,1624.5
209,215,2101.64
209,229,2206.26
210,279,1908.02
210,51,1971.34
210,211,2032.44
210,260,2108.51
210,114,2284.66
211,279,124.49
211,260,1190.65
211,189,1695.37
211,274,1873.7
211,89,1975.62
212,245,1640.46
212,29,1755.43
212,160,2052.84
212,75,2186.27
212,188,2680.59
213,28,1007.72
213,259,1259.89
213,204,1450.74
213,82,1630.64
213,253,1650.96
214,136,947.32
214,155,1124.66
214,126,1442.28
214,141,1529.67
214,216,2025.66
215,88,1271.6
215,138,1569.81
215,209,2101.64
215,72,2804.03
215,252,2920.95
216,43,932.12
216,136,1090.72
216,141,1406.09
216,155,1440.69
216,126,1702.12
217,250,1375.44
217,172,1796.53
217,166,2048.61
217,134,2621.61
217,73,2694.2
218,36,1414.81
218,113,1671.12
218,239,2866.41
218,37,3026.6
218,66,3602.44
219,91,1483.29
219,116,1872.65
219,149,1974.56
219,78,1996.92
219,57,2250.32
220,24,1123.15
220,169,1473.52
220,125,1719.22
220,120,1721.91
220,242,2635.31
221,234,715.41
221,118,1046.48
221,276,2775.33
221,9,2895.19
221,181,3075.62
222,128,2249.63
222,50,2512.94
222,41,2819.62
222,278,3513.68
222,201,3716.31
223,175,1125.97
223,116,2591.46
223,98,2669.41
223,53,2753.35
223,214,2826.68
224,277,705.49
224,32,1115.29
224,33,1124.77
224,271,1463.19
224,168,2511.68
225,15,1115.47
225,174,1409.85
225,44,1481.07
225,157,1638.93
225,233,1892.13
226,185,802.46
226,72,1832.68
226,252,2166.52
226,196,2242.4
226,88,2967.35
227,40,796.15
227,254,955.65
227,39,1936.29
227,276,2932.81
227,268,3060.84
228,243,1139.89
228,37,2137.56
228,172,2397.56
228,83,2560.53
228,36,2589.04
229,207,964.39
229,89,1531.17
229,138,1836.63
229,209,2206.26
229,260,2770.48
230,130,218.1
230,139,1342.92
230,2,1562.27
230,194,3868.68
230,61,4057.59
231,70,717.08
231,101,1204.52
231,100,2090.4
231,238,2102.66
231,80,2466.8
232,199,1342.86
232,1,1602.4
232,121,2380.32
232,273,2397.02
232,26,2814.94
233,105,870.43
233,171,1322.58
233,74,1777.86
233,225,1892.13
233,143,2033.64
234,118,514.59
234,221,715.41
234,276,2603.83
234,9,3507.19
234,181,3766.05
235,137,1586.66
235,124,1661.17
235,173,1696.22
235,121,1968.98
235,199,2710.55
236,148,2148.67
236,271,2441.01
236,277,2510.91
236,32,2594.66
236,33,2809.21
237,69,510.99
237,168,720.44
237,10,1272.63
237,62,1673.17
237,182,2423.56
238,101,933.41
238,231,2102.66
238,199,2324.92
238,270,2331.62
238,121,2399.17
239,66,1409.2
239,98,1769.84
239,218,2866.41
239,113,3180.15
239,223,3304.18
240,132,146.13
240,269,1804.23
240,20,1812.8
240,122,2533.94
240,151,3310.87
241,154,1477.35
241,106,1977.46
241,114,1978.49
241,252,2711.9
241,186,3269.21
242,195,1615.08
242,30,1912.26
242,24,2462.09
242,95,2553.81
242,220,2635.31
243,228,1139.89
243,123,1949.76
243,83,2294.53
243,184,2965.0
243,172,3048.98
244,96,498.56
244,261,1243.05
244,255,1254.45
244,201,1307.19
244,278,1329.0
245,212,1640.46
245,54,2839.75
245,29,3131.64
245,99,3441.75
245,70,3446.56
246,157,2361.96
246,44,2560.15
246,174,2746.61
246,15,2877.87
246,205,3047.3
247,90,1000.47
247,268,2177.2
247,39,3164.92
247,254,3182.41
247,227,3550.89
248,71,848.87
248,159,1025.39
248,156,1680.42
248,67,1776.69
248,257,2407.41
249,47,1348.89
249,46,1788.63
249,51,2032.64
249,164,2089.15
249,74,2191.62
250,172,1296.26
250,217,1375.44
250,37,2148.35
250,166,2708.46
250,131,2748.63
251,262,519.61
251,55,865.7
251,48,924.0
251,119,1697.37
251,23,1768.63
252,88,1659.3
252,226,2166.52
252,72,2590.57
252,241,2711.9
252,185,2842.59
253,28,999.77
253,213,1650.96
253,259,2407.39
253,110,2761.73
253,204,2799.8
254,227,955.65
254,40,1744.87
254,276,2004.48
254,39,2579.26
254,247,3182.41
255,192,518.13
255,261,527.87
255,96,762.61
255,244,1254.45
255,6,1498.07
256,13,1232.66
256,104,1283.38
256,76,1407.76
256,216,2791.48
256,43,2805.82
257,159,1420.34
257,71,1579.45
257,47,1827.18
257,74,2272.33
257,249,2319.7
258,21,1331.37
258,198,1794.72
258,264,2382.95
258,123,2941.29
258,83,3427.58
259,204,464.67
259,213,1259.89
259,82,2015.24
259,28,2166.3
259,253,2407.39
260,279,1164.52
260,211,1190.65
260,89,1309.96
260,209,1612.46
260,210,2108.51
261,192,410.03
261,255,527.87
261,96,780.36
261,272,1138.73
261,244,1243.05
262,251,519.61
262,48,1251.39
262,55,1354.14
262,23,1429.83
262,119,1853.13
263,85,534.79
263,15,1402.82
263,205,1625.92
263,16,2071.3
263,225,2433.23
264,4,2350.31
264,258,2382.95
264,146,2446.02
264,198,2737.77
264,83,2745.18
265,84,103.05
265,112,371.17
265,63,742.33
265,179,943.88
265,58,1457.77
266,94,704.96
266,152,944.07
266,11,1361.05
266,49,1465.03
266,31,1885.41
267,150,1110.84
267,109,1459.91
267,191,1847.39
267,164,2372.63
267,46,2453.35
268,39,1541.26
268,247,2177.2
268,227,3060.84
268,90,3126.3
268,40,3199.04
269,240,1804.23
269,132,1826.5
269,151,2334.87
269,108,2974.94
269,57,3017.54
270,103,1257.03
270,52,2037.14
270,131,2041.93
270,238,2331.62
270,183,2500.91
271,32,377.46
271,277,761.32
271,224,1463.19
271,168,1883.41
271,182,2052.65
272,261,1138.73
272,192,1423.07
272,96,1480.44
272,255,1657.97
272,244,1662.84
273,1,1214.56
273,232,2397.02
273,131,2902.7
273,190,2947.67
273,149,3675.49
274,189,236.29
274,211,1873.7
274,279,1948.46
274,11,2247.06
274,150,2300.32
275,115,189.97
275,162,939.33
275,205,2003.12
275,129,2075.96
275,188,2810.04
276,254,2004.48
276,118,2124.98
276,234,2603.83
276,221,2775.33
276,227,2932.81
277,32,442.22
277,224,705.49
277,271,761.32
277,33,1675.13
277,168,2154.38
278,201,256.33
278,41,747.83
278,206,1032.32
278,50,1062.77
278,244,1329.0
279,211,124.49
279,260,1164.52
279,189,1778.55
279,210,1908.02
279,274,1948.46
